FechaObservacion,ValorObservado,NombreEstacion,Latitud,Longitud
9/27/2018 12:00,23.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
9/25/2017 12:00,26.7,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
2/18/2016 12:00,27.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/2/2017 12:00,25.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/7/2018 12:00,18.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/27/2018 12:00,24.30079,ESPERANZA LA  - AUT,4.45,-75.25
9/9/2018 12:00,23.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
8/2/2015 12:00,28.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/17/2019 12:00,25.37276,ESPERANZA LA  - AUT,4.45,-75.25
1/20/2019 12:00,22.9192,ESPERANZA LA  - AUT,4.45,-75.25
8/7/2017 12:00,27.9,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
2/2/2015 12:00,27.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/6/2016 12:00,23,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
9/28/2018 12:00,26.4,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/19/2019 12:00,24.47439,ESPERANZA LA  - AUT,4.45,-75.25
6/6/2016 12:00,25.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
5/15/2019 12:00,24.60827,ESPERANZA LA  - AUT,4.45,-75.25
4/27/2017 12:00,27,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
8/27/2017 12:00,16.4,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/2/2017 12:00,22.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
5/28/2019 12:00,17.9,EL SILENCIO - AUT,4.600222222,-75.336
12/11/2017 12:00,22.03481,ESPERANZA LA  - AUT,4.45,-75.25
5/1/2015 12:00,20.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
11/3/2015 12:00,23.8,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/8/2015 12:00,22.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
9/5/2015 12:00,29.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/12/2017 12:00,25.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/18/2018 12:00,25.23669,ESPERANZA LA  - AUT,4.45,-75.25
7/10/2017 12:00,21,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
5/23/2018 12:00,20.56694,ESPERANZA LA  - AUT,4.45,-75.25
8/10/2019 12:00,24,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
5/16/2019 12:00,21.2,EL SILENCIO - AUT,4.600222222,-75.336
2/26/2016 12:00,24.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/16/2018 12:00,21.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
12/18/2018 12:00,19.6,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
10/10/2016 12:00,24,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
8/19/2016 12:00,27.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
3/28/2019 12:00,19,EL SILENCIO - AUT,4.600222222,-75.336
5/14/2017 12:00,19.7,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
7/21/2017 12:00,27.08369,ESPERANZA LA  - AUT,4.45,-75.25
12/8/2018 12:00,23.49311,ESPERANZA LA  - AUT,4.45,-75.25
11/28/2018 12:00,23.50378,ESPERANZA LA  - AUT,4.45,-75.25
6/22/2017 12:00,20.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
5/14/2017 12:00,24.2,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/17/2019 12:00,20.5,EL SILENCIO - AUT,4.600222222,-75.336
1/28/2019 12:00,25.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
7/10/2017 12:00,25.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
4/30/2018 12:00,24.11133,ESPERANZA LA  - AUT,4.45,-75.25
2/1/2015 12:00,18.4,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
2/17/2016 12:00,28.5,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
10/22/2017 12:00,24.1,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
8/23/2015 12:00,26,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/11/2019 12:00,20.34399,ESPERANZA LA  - AUT,4.45,-75.25
7/19/2019 12:00,14.6,EL SILENCIO - AUT,4.600222222,-75.336
6/29/2018 12:00,24.6,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
6/12/2015 12:00,20.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
8/14/2015 12:00,26.7,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
12/19/2018 12:00,18.9,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
4/28/2017 12:00,25.3,BATALLON ROOKE  - AUT,4.418388889,-75.24866667
1/1/2017 12:00,18.8,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
10/5/2017 12:00,25.1,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
6/21/2016 12:00,26,ESPERANZA LA  - AUT,4.45,-75.25
8/25/2016 12:00,29.6,ESPERANZA LA  - AUT,4.45,-75.25
11/3/2016 12:00,18.3,CERROS NOROCCIDENTALES  - AUT,4.470361111,-75.24386111
